,title,genre,director,released_year,studio,rotten_score,audience_score
311,Tower,"Animation,Documentary",Keith Maitland,2016,Go-Valley,99,89
312,Under The Shadow,"Art House & International,Horror,Mystery & Suspense",Babak Anvari,2016,Wigwam Films,99,74
313,Fences,Drama,Denzel Washington,2016,Paramount Pictures,92,75
314,10 Cloverfield Lane,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Dan Trachtenberg,2016,Bad Robot Productions,90,79
315,The Edge of Seventeen,"Comedy,Drama",Kelly Fremon Craig,2016,STX Entertainment,94,83
316,Toni Erdmann,"Art House & International,Drama",Maren Ade,2016,Sony Pictures Classics,93,73
317,The Wailing (Goksung),"Art House & International,Drama,Mystery & Suspense",Hong-jin Na,2016,156 minutes,99,81
318,O.J.: Made in America,Documentary,Ezra Edelman,2016,Laylow Films,100,98
319,Embrace Of The Serpent (El Abrazo De La Serpiente),"Action & Adventure,Art House & International",Ciro Guerra,2016,Buffalo Films,96,84
320,Rogue One: A Star Wars Story,"Action & Adventure,Drama,Science Fiction & Fantasy",Gareth Edwards (V),2016,Walt Disney Pictures,84,86
321,Little Men,Drama,Ira Sachs,2016,Race Point Films,96,64
322,The Age of Shadows,"Action & Adventure,Drama",Kim Jee-woon,2016,139 minutes,100,82
323,Fireworks Wednesday (Chaharshanbe-soori),"Art House & International,Drama",Asghar Farhadi,2016,Grasshopper Film,100,83
324,Aquarius,"Art House & International,Drama",Kleber Mendonça Filho,2016,Vitagraph Films,97,78
325,The Fits,Drama,Anna Rose Holmer,2016,La Biennale di Venezia,97,54
326,Jackie,Drama,Pablo Larraín,2016,Fox Searchlight Pictures,87,60
327,13th,Documentary,Ava DuVernay,2016,Netflix,97,91
328,Elle,"Art House & International,Drama,Mystery & Suspense",Paul Verhoeven,2016,SBS Productions,91,73
329,"Hail, Caesar!",Comedy,"Joel Coen,Ethan Coen",2016,Universal Pictures,86,44
330,Loving,Drama,Jeff Nichols,2016,Big Beach Films,89,76
331,Queen of Katwe,"Drama,Kids & Family",Mira Nair,2016,Walt Disney Studios,93,87
332,Long Way North (Tout en haut du monde),"Action & Adventure,Animation,Art House & International",Rémi Chayé,2016,81 minutes,98,76
333,The Beatles: Eight Days a Week - The Touring Years,Documentary,Ron Howard,2016,Apple Corps,96,89
334,Almost Holy (Crocodile Gennadiy),Documentary,Steve Hoover,2016,100 minutes,98,82
335,The Innocents (Les innocentes),Drama,Anne Fontaine,2016,France 2 Cinéma,95,86
336,Aferim!,"Action & Adventure,Art House & International,Comedy,Drama",Radu Jude,2016,Big World Pictures,98,75
337,The Dark Horse,"Art House & International,Drama",James Napier Robertson,2016,Southern Light Films,97,77
338,Green Room,Horror,Jeremy Saulnier,2016,A24 Films,90,75
339,The Love Witch,"Drama,Horror,Mystery & Suspense",Anna Biller,2016,Oscilloscope Laboratories,95,60
340,Marguerite,Drama,Xavier Giannoli,2016,Fidélité Films,95,73
341,De Palma,Documentary,"Noah Baumbach,Jake Paltrow",2016,Empire Ward,95,85
342,Rams (Hrútar),Drama,Grímur Hákonarson,2016,Cohen Media Group,95,84
343,Cemetery of Splendor,Art House & International,Apichatpong Weerasethakul,2016,Kick the Machine,96,60
344,Dark Horse,"Documentary,Drama",Louise Osmond,2016,Sony Pictures Classics,96,77
345,Neruda,Drama,Pablo Larraín,2016,The Orchard,93,69
346,Train to Busan (Busanhaeng),"Action & Adventure,Art House & International,Horror,Mystery & Suspense",Yeon Sang-ho,2016,Redpeter Film,95,88
347,Sully,"Action & Adventure,Drama",Clint Eastwood,2016,Warner Bros.,85,84
348,Gleason,Documentary,Clay Tweel,2016,Dear Rivers Production,96,90
349,Our Little Sister (Umimachi Diary),Drama,Hirokazu Koreeda,2016,Sony Pictures Classics,94,82
350,Certain Women,Drama,Kelly Reichardt,2016,Film Science,91,50
351,"Lo and Behold, Reveries of the Connected World",Documentary,Werner Herzog,2016,Saville Productions,93,67
352,Tickled,Documentary,"David Farrier,Dylan Reeve",2016,Magnolia Pictures,94,86
353,Southside With You,"Drama,Romance",Richard Tanne,2016,Miramax and Roadside Attractions,92,71
354,Star Trek Beyond,"Action & Adventure,Drama,Science Fiction & Fantasy",Justin Lin,2016,Paramount Pictures,86,80
355,Gimme Danger,Documentary,Jim Jarmusch,2016,Low Mind Films,94,69
356,April and the Extraordinary World (Avril et le monde truqué),"Action & Adventure,Animation,Comedy","Christian Desmares,Franck Ekinci",2016,GKIDS,96,76
357,Krisha,Drama,Trey Edward Shults,2016,A24 Films,95,78
358,The Eagle Huntress,Documentary,Otto Bell,2016,Kissiki Film,93,86
359,Deadpool,"Action & Adventure,Comedy,Science Fiction & Fantasy",Tim Miller,2016,20th Century Fox,84,90
360,Pete's Dragon,Kids & Family,David Lowery,2016,Walt Disney Pictures,88,72
361,Fire at Sea (Fuocoammare),"Art House & International,Documentary",Gianfranco Rosi,2016,21UNO FILM,94,65
362,"Life, Animated",Documentary,Roger Ross Williams,2016,A&E IndieFilms,93,81
363,A Bigger Splash,"Art House & International,Drama,Mystery & Suspense,Special Interest",Luca Guadagnino,2016,StudioCanal,90,57
364,The Lobster,"Comedy,Cult Movies,Drama,Science Fiction & Fantasy",Yorgos Lanthimos,2016,A24 Films,87,64
365,Don't Breathe,"Horror,Mystery & Suspense",Fede Alvarez,2016,Ghost House Pictures,88,78
366,Florence Foster Jenkins,"Comedy,Drama,Musical & Performing Arts",Stephen Frears,2016,BBC Films,88,68
367,The Little Prince,"Animation,Science Fiction & Fantasy",Mark Osborne,2016,Netflix,93,84
368,Command and Control,Documentary,Robert Kenner,2016,Robert Kenner Films,95,75
369,Everybody Wants Some!!,Comedy,Richard Linklater,2016,Paramount Pictures,87,68
370,Nuts!,Documentary,Penny Lane,2016,Cartuna,94,79
371,Hacksaw Ridge,"Action & Adventure,Drama",Mel Gibson,2016,Summit Entertainment,85,91
372,Lion,Drama,Garth Davis,2016,See-Saw Films,85,91
373,Miss Hokusai (Sarusuberi: Miss Hokusai),"Animation,Art House & International,Drama,Special Interest",Keiichi Hara,2016,GKIDS,93,69
374,The Last Man On The Moon,Documentary,Mark Craig,2016,Gravitas Ventures,93,78
375,A War (Krigen),Drama,Tobias Lindholm,2016,Nordisk Film,91,79
376,Demon,"Art House & International,Mystery & Suspense",Marcin Wrona,2016,Telewizja Polska,92,55
377,A Man Called Ove (En man som heter Ove),"Art House & International,Comedy,Drama",Hannes Holm,2016,Tre Vänner Produktion AB,90,87
378,The Measure of a Man (La loi du marché),"Art House & International,Drama",Stéphane Brizé,2016,Nord-Ouest Films,92,60
379,Mountains May Depart (Shan he gu ren),"Art House & International,Drama",Zhangke Jia,2016,Arte France Cinéma,91,67
380,Kung Fu Panda 3,Animation,"Alessandro Carloni,Jennifer Yuh Nelson",2016,DreamWorks Animation,87,78
381,I Am Not a Serial Killer,"Drama,Mystery & Suspense",Billy O'Brien (III),2016,Floodland Pictures,92,61
382,Sieranevada,"Art House & International,Drama",Cristi Puiu,2016,173 minutes,92,82
383,Into the Inferno,Documentary,Werner Herzog,2016,Netflix,92,72
384,Zero Days,Documentary,Alex Gibney,2016,Jigsaw Productions,91,75
385,Eat That Question: Frank Zappa in His Own Words,"Art House & International,Documentary",Thorsten Schütte,2016,Les Films du Poisson,91,73
386,Barbershop: The Next Cut,Comedy,Malcolm D. Lee,2016,Warner Bros. Pictures,90,66
387,Mad Max: Fury Road,"Action & Adventure,Science Fiction & Fantasy",George Miller,2015,Warner Bros.,97,85
388,Inside Out,"Animation,Kids & Family","Pete Docter,Ronnie del Carmen",2015,Disney/Pixar,98,89
389,Spotlight,"Drama,Mystery & Suspense",Tom McCarthy,2015,Open Road Films,97,93
390,Star Wars: Episode VII - The Force Awakens,"Action & Adventure,Science Fiction & Fantasy",J.J. Abrams,2015,Walt Disney Pictures,93,87
391,Brooklyn,Drama,John Crowley,2015,Fox Searchlight Pictures,97,87
392,Creed,Drama,Ryan Coogler,2015,Warner Bros.,95,89
393,It Follows,Horror,David Robert Mitchell,2015,Radius-TWC,96,66
394,Carol,"Drama,Romance",Todd Haynes,2015,The Weinstein Company,94,74
395,The Martian,Science Fiction & Fantasy,Ridley Scott,2015,20th Century Fox,91,91
396,Shaun the Sheep Movie,"Animation,Comedy","Mark Burton,Richard Starzak",2015,Lionsgate,99,80
397,Mission: Impossible Rogue Nation,Action & Adventure,Christopher McQuarrie,2015,Paramount Pictures,93,87
398,Room,Drama,Lenny Abrahamson,2015,Element Pictures,93,93
399,45 Years,Drama,Andrew Haigh,2015,Sundance Selects,97,67
400,Spy,Comedy,Paul Feig,2015,20th Century Fox,95,78
401,Son of Saul,Drama,László Nemes,2015,Sony Pictures Classics,95,80
402,Amy,"Art House & International,Documentary,Musical & Performing Arts,Special Interest",Asif Kapadia,2015,A24 Films,95,87
403,Paddington,"Comedy,Kids & Family",Paul King (VII),2015,The Weinstein Company,97,80
404,Bridge of Spies,"Drama,Mystery & Suspense",Steven Spielberg,2015,Dreamworks Pictures,91,87
405,What We Do In The Shadows,"Comedy,Drama","Taika Waititi,Jemaine Clement",2015,Paladin Pictures,96,86
406,GETT: The Trial of Viviane Amsalem,"Art House & International,Drama","Shlomi Elkabetz,Ronit Elkabetz",2015,Music Box Films,100,81
407,Phoenix,"Art House & International,Drama",Christian Petzold,2015,IFC Films,98,78
408,Mustang,Drama,Deniz Gamze Ergüven,2015,CG Cinéma,97,88
409,Timbuktu,"Art House & International,Drama",Abderrahmane Sissako,2015,Cohen Media Group,98,77
410,Anomalisa,"Animation,Comedy,Drama","Charlie Kaufman,Duke Johnson",2015,Starburns Industries,92,70
411,Sicario,"Action & Adventure,Drama,Mystery & Suspense",Denis Villeneuve,2015,Lionsgate,92,85
412,Seymour: An Introduction,Documentary,Ethan Hawke,2015,IFC Films,100,78
413,Ex Machina,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Alex Garland,2015,A24 Films,92,86
414,Tangerine,"Comedy,Drama",Sean Baker (II),2015,Magnolia Pictures,96,76
415,Iris,Documentary,Albert Maysles,2015,Magnolia Pictures,98,80
416,"3 And 1/2 Minutes, 10 Bullets",Documentary,Marc Silver,2015,Participant Media,100,88
417,About Elly,"Art House & International,Drama,Kids & Family",Asghar Farhadi,2015,Cinema Guild,99,83
418,'71,"Action & Adventure,Drama",Yann Demange,2015,Roadside Attractions,96,81
419,The Look of Silence,"Art House & International,Documentary",Joshua Oppenheimer,2015,Drafthouse Films,96,89
420,The Big Short,Drama,Adam McKay,2015,Paramount Pictures,88,87
421,Kurt Cobain: Montage Of Heck,Documentary,Brett Morgen,2015,Universal Pictures/HBO,97,81
422,Hitchcock/Truffaut,Documentary,Kent Jones,2015,Cohen Media Group LLC,96,76
423,The Second Mother (Que Horas Ela Volta?),Drama,Anna Muylaert,2015,Oscilloscope Laboratories,97,89
424,The Diary Of A Teenage Girl,Drama,Marielle Heller,2015,Sony Pictures Classics,94,73
425,Wild Tales,"Comedy,Drama,Mystery & Suspense",Damián Szifron,2015,Sony Pictures Classics,94,92
426,Ingrid Bergman in Her Own Words (Jag är Ingrid),Documentary,"Stig Björkman,Stig Bjorkman",2015,Mantaray Film AB,98,67
427,Court,Drama,Chaitanya Tamhane,2015,Zeitgeist Films,98,81
428,Listen To Me Marlon,Documentary,Stevan Riley,2015,Showtime Networks,96,88
429,Jafar Panahi's Taxi,Documentary,Jafar Panahi,2015,Kino Lorber,96,79
430,Finders Keepers,Documentary,"Bryan Carberry,Clay Tweel",2015,82 minutes,98,74
431,Theeb,"Action & Adventure,Drama",Naji Abu Nowar,2015,Noor Pictures,97,76
432,Heart of a Dog,Documentary,Laurie Anderson,2015,Canal Street Communications,96,64
433,Sherpa,Documentary,Jennifer Peedom,2015,Felix Media,98,81
434,The Gift,Mystery & Suspense,Joel Edgerton,2015,STX Entertainment,92,75
435,Appropriate Behavior,Comedy,Desiree Akhavan,2015,Gravitas Ventures,97,64
436,99 Homes,"Drama,Mystery & Suspense",Ramin Bahrani,2015,Broad Green Pictures,93,78
437,Girlhood,Drama,Céline Sciamma,2015,Strand Releasing,96,73
438,Going Clear: Scientology and the Prison of Belief,Documentary,Alex Gibney,2015,Home Box Office,95,90
439,The Wonders,"Art House & International,Drama",Alice Rohrwacher,2015,Oscilloscope Pictures,96,65
440,The Salt of the Earth,"Documentary,Special Interest","Wim Wenders,Juliano Ribeiro Salgado",2015,Sony Pictures Classics,95,90
441,Love & Mercy,"Drama,Musical & Performing Arts",Bill Pohlad,2015,Roadside Attractions,90,85
442,Steve Jobs,Drama,Danny Boyle,2015,Universal Pictures,86,73
443,Grandma,Comedy,Paul Weitz,2015,Sony Pictures Classics,91,67
444,The Duke Of Burgundy,"Drama,Romance",Peter Strickland,2015,IFC Films,94,65
445,A Most Violent Year,"Action & Adventure,Drama",J.C. Chandor,2015,A24,89,69
446,Selma,Drama,Ava DuVernay,2014,Paramount Pictures,99,86
447,Boyhood,Drama,Richard Linklater,2014,IFC Films,97,80
448,The Babadook,"Drama,Horror,Mystery & Suspense",Jennifer Kent,2014,IFC Films,98,72
449,Nightcrawler,"Drama,Mystery & Suspense",Dan Gilroy,2014,Open Road Films,95,85
450,Life Itself,"Documentary,Special Interest,Television",Steve James (II),2014,Magnolia Pictures,97,88
451,Birdman,"Comedy,Drama",Alejandro González Iñárritu,2014,Fox Searchlight,91,77
452,The LEGO Movie,"Action & Adventure,Animation,Comedy,Kids & Family","Phil Lord,Christopher Miller,Chris McKay",2014,Warner Bros. Pictures,95,87
453,Whiplash,Drama,Damien Chazelle,2014,Sony Pictures Classics,93,94
454,Snowpiercer,Science Fiction & Fantasy,Bong Joon Ho,2014,Radius-TWC,95,72
455,Mr. Turner,Drama,Mike Leigh,2014,Sony Pictures Classics,97,56
456,"Two Days, One Night",Drama,"Jean-Pierre Dardenne,Luc Dardenne",2014,IFC Films,97,76
457,Gloria,"Art House & International,Drama",Sebastián Lelio,2014,Roadside Attractions,99,64
458,Guardians of the Galaxy,"Action & Adventure,Science Fiction & Fantasy",James Gunn (II),2014,Walt Disney Pictures,91,92
459,Leviathan,Drama,Andrey Zvyagintsev,2014,Sony Pictures Classics,98,80
460,The Tale of the Princess Kaguya,Art House & International,Isao Takahata,2014,GKIDS,100,90
461,Starred Up,Drama,David Mackenzie,2014,Tribeca Films,99,84
462,The Grand Budapest Hotel,"Comedy,Drama",Wes Anderson,2014,Fox Searchlight,91,86
463,Mad Max: Fury Road,"Action & Adventure,Science Fiction & Fantasy",George Miller,2015,Warner Bros.,97,85
464,Inside Out,"Animation,Kids & Family","Pete Docter,Ronnie del Carmen",2015,Disney/Pixar,98,89
465,Spotlight,"Drama,Mystery & Suspense",Tom McCarthy,2015,Open Road Films,97,93
466,Star Wars: Episode VII - The Force Awakens,"Action & Adventure,Science Fiction & Fantasy",J.J. Abrams,2015,Walt Disney Pictures,93,87
467,Brooklyn,Drama,John Crowley,2015,Fox Searchlight Pictures,97,87
468,Creed,Drama,Ryan Coogler,2015,Warner Bros.,95,89
469,It Follows,Horror,David Robert Mitchell,2015,Radius-TWC,96,66
470,Carol,"Drama,Romance",Todd Haynes,2015,The Weinstein Company,94,74
471,The Martian,Science Fiction & Fantasy,Ridley Scott,2015,20th Century Fox,91,91
472,Shaun the Sheep Movie,"Animation,Comedy","Mark Burton,Richard Starzak",2015,Lionsgate,99,80
473,Mission: Impossible Rogue Nation,Action & Adventure,Christopher McQuarrie,2015,Paramount Pictures,93,87
474,Room,Drama,Lenny Abrahamson,2015,Element Pictures,93,93
475,45 Years,Drama,Andrew Haigh,2015,Sundance Selects,97,67
476,Spy,Comedy,Paul Feig,2015,20th Century Fox,95,78
477,Son of Saul,Drama,László Nemes,2015,Sony Pictures Classics,95,80
478,Amy,"Art House & International,Documentary,Musical & Performing Arts,Special Interest",Asif Kapadia,2015,A24 Films,95,87
479,Paddington,"Comedy,Kids & Family",Paul King (VII),2015,The Weinstein Company,97,80
480,Bridge of Spies,"Drama,Mystery & Suspense",Steven Spielberg,2015,Dreamworks Pictures,91,87
481,What We Do In The Shadows,"Comedy,Drama","Taika Waititi,Jemaine Clement",2015,Paladin Pictures,96,86
482,GETT: The Trial of Viviane Amsalem,"Art House & International,Drama","Shlomi Elkabetz,Ronit Elkabetz",2015,Music Box Films,100,81
483,Phoenix,"Art House & International,Drama",Christian Petzold,2015,IFC Films,98,78
484,Mustang,Drama,Deniz Gamze Ergüven,2015,CG Cinéma,97,88
485,Timbuktu,"Art House & International,Drama",Abderrahmane Sissako,2015,Cohen Media Group,98,77
486,Anomalisa,"Animation,Comedy,Drama","Charlie Kaufman,Duke Johnson",2015,Starburns Industries,92,70
487,Sicario,"Action & Adventure,Drama,Mystery & Suspense",Denis Villeneuve,2015,Lionsgate,92,85
488,Seymour: An Introduction,Documentary,Ethan Hawke,2015,IFC Films,100,78
489,Ex Machina,"Drama,Mystery & Suspense,Science Fiction & Fantasy",Alex Garland,2015,A24 Films,92,86
490,Tangerine,"Comedy,Drama",Sean Baker (II),2015,Magnolia Pictures,96,76
491,Iris,Documentary,Albert Maysles,2015,Magnolia Pictures,98,80
492,"3 And 1/2 Minutes, 10 Bullets",Documentary,Marc Silver,2015,Participant Media,100,88
493,About Elly,"Art House & International,Drama,Kids & Family",Asghar Farhadi,2015,Cinema Guild,99,83
494,'71,"Action & Adventure,Drama",Yann Demange,2015,Roadside Attractions,96,81
495,The Look of Silence,"Art House & International,Documentary",Joshua Oppenheimer,2015,Drafthouse Films,96,89
496,The Big Short,Drama,Adam McKay,2015,Paramount Pictures,88,87
497,Kurt Cobain: Montage Of Heck,Documentary,Brett Morgen,2015,Universal Pictures/HBO,97,81
498,Hitchcock/Truffaut,Documentary,Kent Jones,2015,Cohen Media Group LLC,96,76
499,The Second Mother (Que Horas Ela Volta?),Drama,Anna Muylaert,2015,Oscilloscope Laboratories,97,89
500,The Diary Of A Teenage Girl,Drama,Marielle Heller,2015,Sony Pictures Classics,94,73
501,Wild Tales,"Comedy,Drama,Mystery & Suspense",Damián Szifron,2015,Sony Pictures Classics,94,92
502,Ingrid Bergman in Her Own Words (Jag är Ingrid),Documentary,"Stig Björkman,Stig Bjorkman",2015,Mantaray Film AB,98,67
503,Court,Drama,Chaitanya Tamhane,2015,Zeitgeist Films,98,81
504,Listen To Me Marlon,Documentary,Stevan Riley,2015,Showtime Networks,96,88
505,Jafar Panahi's Taxi,Documentary,Jafar Panahi,2015,Kino Lorber,96,79
506,Finders Keepers,Documentary,"Bryan Carberry,Clay Tweel",2015,82 minutes,98,74
507,Theeb,"Action & Adventure,Drama",Naji Abu Nowar,2015,Noor Pictures,97,76
508,Heart of a Dog,Documentary,Laurie Anderson,2015,Canal Street Communications,96,64
509,Sherpa,Documentary,Jennifer Peedom,2015,Felix Media,98,81
510,The Gift,Mystery & Suspense,Joel Edgerton,2015,STX Entertainment,92,75
511,Appropriate Behavior,Comedy,Desiree Akhavan,2015,Gravitas Ventures,97,64
512,99 Homes,"Drama,Mystery & Suspense",Ramin Bahrani,2015,Broad Green Pictures,93,78
513,Girlhood,Drama,Céline Sciamma,2015,Strand Releasing,96,73
514,Going Clear: Scientology and the Prison of Belief,Documentary,Alex Gibney,2015,Home Box Office,95,90
515,The Wonders,"Art House & International,Drama",Alice Rohrwacher,2015,Oscilloscope Pictures,96,65
516,The Salt of the Earth,"Documentary,Special Interest","Wim Wenders,Juliano Ribeiro Salgado",2015,Sony Pictures Classics,95,90
517,Love & Mercy,"Drama,Musical & Performing Arts",Bill Pohlad,2015,Roadside Attractions,90,85
518,Steve Jobs,Drama,Danny Boyle,2015,Universal Pictures,86,73
519,Grandma,Comedy,Paul Weitz,2015,Sony Pictures Classics,91,67
520,A Most Violent Year,"Action & Adventure,Drama",J.C. Chandor,2015,A24,89,69
521,The Duke Of Burgundy,"Drama,Romance",Peter Strickland,2015,IFC Films,94,65
522,In Jackson Heights,Documentary,Frederick Wiseman,2015,190 minutes,96,76
523,Welcome To Leith,Documentary,"Christopher K. Walker,Michael Beach Nichols",2015,First Run Features,96,75
524,Best Of Enemies,Documentary,"Morgan Neville,Robert Gordon",2015,Magnolia Pictures,93,86
525,Straight Outta Compton,"Drama,Musical & Performing Arts",F. Gary Gray,2015,Universal Pictures,88,91
526,The Forbidden Room,"Comedy,Drama,Science Fiction & Fantasy","Guy Maddin,Evan Johnson",2015,130 minutes,95,49
527,Beasts of No Nation,Drama,Cary Joji Fukunaga,2015,Netflix,92,91
528,Slow West,"Action & Adventure,Mystery & Suspense",John M. Maclean,2015,A24 and DIRECTV,92,74
529,The End Of The Tour,Drama,James Ponsoldt,2015,A24 Films,91,82
530,Red Army,"Documentary,Sports & Fitness",Gabe Polsky,2015,Sony Pictures Classics,93,85
531,Clouds of Sils Maria,Drama,Olivier Assayas,2015,IFC Films,90,65
532,The Wrecking Crew,"Documentary,Musical & Performing Arts",Denny Tedesco,2015,Magnolia Pictures,94,84
533,We Are Still Here,Horror,Ted Geoghegan,2015,Dark Sky Films,95,48
534,I'll See You in My Dreams,"Comedy,Drama,Romance",Brett Haley,2015,Bleecker Street,93,68
535,Man from Reno,"Drama,Mystery & Suspense",Dave Boyle,2015,First Pond Entertainment,95,80
536,Queen of Earth,"Drama,Mystery & Suspense",Alex Ross Perry,2015,IFC Films,93,59
537,Trainwreck,Comedy,Judd Apatow,2015,Universal Pictures,85,66
538,Janis: Little Girl Blue,"Art House & International,Documentary",Amy Berg,2015,Disarming Films,93,77
539,The Hunting Ground,Documentary,Kirby Dick,2015,Radius,93,85
540,Ant-Man,"Action & Adventure,Comedy,Mystery & Suspense,Science Fiction & Fantasy",Peyton Reed,2015,Disney/Marvel,83,86
541,Mississippi Grind,Drama,"Ryan Fleck,Anna Boden",2015,A24 and DIRECTV,91,55
542,Mr. Holmes,"Art House & International,Drama,Mystery & Suspense",Bill Condon,2015,Roadside Attractions,88,70
543,Boy and the World (O Menino e o Mundo),"Animation,Art House & International",Alê Abreu,2015,GKIDS,93,77
544,Disneynature Monkey Kingdom,Documentary,"Mark Linfield,Alastair Fothergill",2015,Walt Disney Pictures,93,76
545,The Lady In The Van,Drama,Nicholas Hytner,2015,Sony Pictures,89,64
546,James White,Drama,Josh Mond,2015,The Film Arcade,92,70
547,The Peanuts Movie,"Animation,Kids & Family",Steve Martino,2015,20th Century Fox,87,76
548,When Marnie Was There,"Animation,Drama",Hiromasa Yonebayashi,2015,GKIDS,91,88
549,The Pearl Button (El botón de nácar),Documentary,Patricio Guzmán,2015,Kino Lorber,93,82
550,Bone Tomahawk,"Action & Adventure,Horror,Western",S. Craig Zahler,2015,Image Entertainment,91,73
551,Peggy Guggenheim: Art Addict,Documentary,Lisa Immordino Vreeland,2015,Dakota Group,93,81
552,The Black Panthers: Vanguard Of The Revolution,Documentary,Stanley Nelson,2015,Firelight Films,92,71
553,Sunshine Superman,"Documentary,Special Interest",Marah Strauch,2015,Magnolia Pictures,92,67
554,Dope,"Comedy,Drama",Rick Famuyiwa,2015,Open Road Films,88,84
555,Mommy,Drama,Xavier Dolan,2015,Lionsgate,89,89
556,Güeros,Comedy,Alonso Ruizpalacios,2015,Kino Lorber Films,92,80
557,Cartel Land,Documentary,Matthew Heineman,2015,The Orchard,90,82
558,Breathe,"Drama,Mystery & Suspense",Mélanie Laurent,2015,Film Movement,92,78
559,The Walk,"Action & Adventure,Drama",Robert Zemeckis,2015,Sony Pictures,83,77
560,Cinderella,"Kids & Family,Science Fiction & Fantasy,Romance",Kenneth Branagh,2015,Walt Disney Pictures,84,78
561,The Revenant,"Action & Adventure,Drama",Alejandro González Iñárritu,2015,20th Century Fox,78,84
562,White God,"Art House & International,Drama",Kornél Mundruczó,2015,Magnolia Pictures,89,71
563,Selma,Drama,Ava DuVernay,2014,Paramount Pictures,99,86
564,Boyhood,Drama,Richard Linklater,2014,IFC Films,97,80
565,The Babadook,"Drama,Horror,Mystery & Suspense",Jennifer Kent,2014,IFC Films,98,72
566,Nightcrawler,"Drama,Mystery & Suspense",Dan Gilroy,2014,Open Road Films,95,85
567,Life Itself,"Documentary,Special Interest,Television",Steve James (II),2014,Magnolia Pictures,97,88
568,Birdman,"Comedy,Drama",Alejandro González Iñárritu,2014,Fox Searchlight,91,77
569,The LEGO Movie,"Action & Adventure,Animation,Comedy,Kids & Family","Phil Lord,Christopher Miller,Chris McKay",2014,Warner Bros. Pictures,95,87
570,Whiplash,Drama,Damien Chazelle,2014,Sony Pictures Classics,93,94
571,Snowpiercer,Science Fiction & Fantasy,Bong Joon Ho,2014,Radius-TWC,95,72
572,Mr. Turner,Drama,Mike Leigh,2014,Sony Pictures Classics,97,56
573,"Two Days, One Night",Drama,"Jean-Pierre Dardenne,Luc Dardenne",2014,IFC Films,97,76
574,Gloria,"Art House & International,Drama",Sebastián Lelio,2014,Roadside Attractions,99,64
575,Guardians of the Galaxy,"Action & Adventure,Science Fiction & Fantasy",James Gunn (II),2014,Walt Disney Pictures,91,92
576,Leviathan,Drama,Andrey Zvyagintsev,2014,Sony Pictures Classics,98,80
577,The Tale of the Princess Kaguya,Art House & International,Isao Takahata,2014,GKIDS,100,90
578,Starred Up,Drama,David Mackenzie,2014,Tribeca Films,99,84
579,The Grand Budapest Hotel,"Comedy,Drama",Wes Anderson,2014,Fox Searchlight,91,86
580,X-Men: Days of Future Past,"Action & Adventure,Science Fiction & Fantasy",Bryan Singer,2014,20th Century Fox,90,91
581,Live Die Repeat: Edge of Tomorrow,"Drama,Science Fiction & Fantasy",Doug Liman,2014,Warner Bros. Pictures,90,90
582,Dawn Of The Planet Of The Apes,"Action & Adventure,Drama,Science Fiction & Fantasy",Matt Reeves,2014,20th Century Fox,90,88
583,Song Of The Sea,"Animation,Kids & Family,Science Fiction & Fantasy",Tomm Moore,2014,GKIDS,99,92
584,Ida,Drama,Pawel Pawlikowski,2014,Music Box Films,96,79
585,The Missing Picture,"Documentary,Drama",Rithy Panh,2014,Strand Releasing,99,76
586,Captain America: The Winter Soldier,"Action & Adventure,Science Fiction & Fantasy","Joe Russo,Anthony Russo",2014,Walt Disney Pictures,90,92
587,Citizenfour,Documentary,Laura Poitras,2014,Radius-TWC,96,87
588,The Overnighters,"Documentary,Drama,Special Interest",Jesse Moss,2014,Drafthouse Films,99,85
589,Blue Ruin,Mystery & Suspense,Jeremy Saulnier,2014,Radius-TWC,96,79
590,Jodorowsky's Dune,"Documentary,Science Fiction & Fantasy,Special Interest",Frank Pavich,2014,Sony Pictures Classics,97,89
591,Elaine Stritch: Shoot Me,"Comedy,Documentary,Special Interest",Chiemi Karasawa,2014,IFC Films,99,79
592,Ilo Ilo,Drama,Anthony Chen,2014,Film Movement,100,78
593,Gone Girl,"Drama,Mystery & Suspense",David Fincher,2014,20th Century Fox,87,87
594,We Are the Best!,"Comedy,Drama,Musical & Performing Arts",Lukas Moodysson,2014,Magnolia Pictures,96,78
595,A Girl Walks Home Alone at Night,"Horror,Mystery & Suspense,Romance",Ana Lily Amirpour,2014,Vice Films,96,75
596,Love Is Strange,"Drama,Special Interest",Ira Sachs,2014,Sony Pictures Classics,94,66
597,The Lunchbox,"Drama,Romance",Ritesh Batra,2014,Sony Pictures Classics,96,86
598,The Imitation Game,"Drama,Mystery & Suspense",Morten Tyldum,2014,The Weinstein Company,89,91
599,Wild,Drama,Jean-Marc Vallée,2014,20th Century Fox,89,75
600,Ernest & Célestine,"Animation,Art House & International,Science Fiction & Fantasy","Vincent Patar,Benjamin Renner,Stéphane Aubier",2014,GKIDS,97,88
601,A Summer's Tale,"Art House & International,Drama,Romance",Eric Rohmer,2014,Big World Pictures,98,83
602,Keep On Keepin' On,"Documentary,Musical & Performing Arts",Alan Hicks,2014,Radius-TWC,98,88
603,Housebound,"Comedy,Mystery & Suspense",Gerard Johnstone,2014,Xlrator Media,98,73
