,title,genre,director,released_year,studio,rotten_score,audience_score
1162,500 Days of Summer,"Comedy,Drama,Romance",Marc Webb,2009,Fox Searchlight Pictures,85,84
1163,Avatar,"Action & Adventure,Comedy,Mystery & Suspense,Science Fiction & Fantasy",James Cameron,2009,20th Century Fox,82,82
1164,Harry Potter and the Half-Blood Prince,"Action & Adventure,Drama,Kids & Family,Mystery & Suspense,Science Fiction & Fantasy",David Yates (II),2009,Warner Bros. Pictures,83,78
1165,The Girl with the Dragon Tattoo,"Art House & International,Drama,Mystery & Suspense",Niels Arden Oplev,2009,Music Box Films,86,87
1166,Sin Nombre,"Drama,Mystery & Suspense",Cary Joji Fukunaga,2009,Focus Features,88,89
1167,The Princess and the Frog,"Animation,Comedy,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy,Romance","John Musker,Ron Clements",2009,Walt Disney Pictures,85,74
1168,A Single Man,Drama,Tom Ford (VIII),2009,The Weinstein Company,85,81
1169,State of Play,"Drama,Mystery & Suspense",Kevin Macdonald,2009,Universal Pictures,84,73
1170,Séraphine,"Art House & International,Drama",Martin Provost,2009,Music Box Films,88,80
1171,The White Ribbon (Das weisse Band),"Art House & International,Drama",Michael Haneke,2009,Sony Pictures Classics,86,79
1172,Cloudy With a Chance of Meatballs,"Animation,Comedy,Kids & Family","Chris Miller,Christopher Miller,Phil Lord",2009,Sony Pictures,86,72
1173,Whip It,"Comedy,Drama",Drew Barrymore,2009,Fox Searchlight Pictures,84,74
1174,Me and Orson Welles,"Art House & International,Comedy,Drama",Richard Linklater,2009,Freestyle Releasing,85,61
1175,The House of the Devil,Horror,Ti West,2009,Magnolia Pictures,87,63
1176,"I Love You, Man","Comedy,Drama",John Hamburg,2009,Dreamworks/Paramount,83,74
1177,Pranzo di Ferragosto (Mid-August Lunch),"Art House & International,Comedy,Drama","Gianni Di Gregorio,Gianni Di Venanzo",2009,Zeitgeist Films,88,70
1178,Bad Lieutenant: Port of Call New Orleans,"Drama,Mystery & Suspense",Werner Herzog,2009,First Look Pictures,85,57
1179,Paranormal Activity,"Horror,Mystery & Suspense",Oren Peli,2009,Paramount Pictures,83,57
1180,Tyson,"Documentary,Sports & Fitness",James Toback,2009,Sony Pictures Classics,85,79
1181,Amreeka,Drama,Cherien Dabis,2009,National Geographic,87,76
1182,Disneynature Earth,Documentary,"Mark Linfield,Alastair Fothergill",2009,Walt Disney Films,86,82
1183,Treeless Mountain,"Art House & International,Drama",So Yong Kim,2009,Oscilloscope Pictures,87,72
1184,Big Fan,"Comedy,Drama",Robert D. Siegel,2009,First Independant Pictures,86,62
